full_date,day_of_week_en,day,month_en,year,country,holiday_name,season
1/14/2014,Tuesday,14,January,2014,Afghanistan,The Prophet's Birthday,Public Holiday
3/20/2014,Thursday,20,March,2014,Afghanistan,March Equinox,Season
4/28/2014,Monday,28,April,2014,Afghanistan,Afghan Victory Day,Public Holiday
6/21/2014,Saturday,21,June,2014,Afghanistan,June Solstice,Season
6/29/2014,Sunday,29,June,2014,Afghanistan,Ramadan starts,Public Holiday
7/29/2014,Tuesday,29,July,2014,Afghanistan,Eid al-Fitr,Public Holiday
7/30/2014,Wednesday,30,July,2014,Afghanistan,Eid al-Fitr Holiday,Public Holiday
7/31/2014,Thursday,31,July,2014,Afghanistan,Eid al-Fitr Holiday,Public Holiday
8/19/2014,Tuesday,19,August,2014,Afghanistan,Independence Day (National Day),Public Holiday
9/9/2014,Tuesday,9,September,2014,Afghanistan,Martyrs and Ahmad Shah Masoud Day,Public Holiday
9/23/2014,Tuesday,23,September,2014,Afghanistan,September Equinox,Season
10/4/2014,Saturday,4,October,2014,Afghanistan,Day of Arafat,Public Holiday
10/5/2014,Sunday,5,October,2014,Afghanistan,Eid al-Qurban,Public Holiday
10/6/2014,Monday,6,October,2014,Afghanistan,Eid al-Qurban Holiday,Public Holiday
10/7/2014,Tuesday,7,October,2014,Afghanistan,Eid al-Qurban Holiday,Public Holiday
11/3/2014,Monday,3,November,2014,Afghanistan,Ashura,Public Holiday
12/13/2014,Saturday,13,December,2014,Afghanistan,Arba'een,Observance
12/22/2014,Monday,22,December,2014,Afghanistan,December Solstice,Season
1/1/2014,Wednesday,1,January,2014,Albania,New Year's Day,National holiday
1/2/2014,Thursday,2,January,2014,Albania,New Year's Day (Day 2),National holiday
2/14/2014,Friday,14,February,2014,Albania,Valentine's Day,Observance
3/8/2014,Saturday,8,March,2014,Albania,Mothers' Day,Observance
3/14/2014,Friday,14,March,2014,Albania,Summer Day,National holiday
3/20/2014,Thursday,20,March,2014,Albania,March Equinox,Season
3/22/2014,Saturday,22,March,2014,Albania,Nevruz Day,National holiday
3/30/2014,Sunday,30,March,2014,Albania,Daylight Saving Time starts,Clock change/Daylight Saving Time
4/18/2014,Friday,18,April,2014,Albania,Good Friday,Observance
4/18/2014,Friday,18,April,2014,Albania,Good Friday (Orthodox),"Observance, Orthodox"
4/19/2014,Saturday,19,April,2014,Albania,Holy Saturday,Observance
4/19/2014,Saturday,19,April,2014,Albania,Easter Saturday (Orthodox),"Observance, Orthodox"
4/20/2014,Sunday,20,April,2014,Albania,Easter Sunday,National holiday
4/20/2014,Sunday,20,April,2014,Albania,Easter Sunday (Orthodox),"National holiday, Orthodox"
4/21/2014,Monday,21,April,2014,Albania,Easter Monday,Observance
4/21/2014,Monday,21,April,2014,Albania,Easter Monday (Orthodox),"Observance, Orthodox"
5/1/2014,Thursday,1,May,2014,Albania,International Worker’s Day,National holiday
6/15/2014,Sunday,15,June,2014,Albania,Fathers' Day,Observance
6/21/2014,Saturday,21,June,2014,Albania,June Solstice,Season
7/28/2014,Monday,28,July,2014,Albania,Eid al-Fitr,National holiday
9/5/2014,Friday,5,September,2014,Albania,Mother Teresa Beatification Day,National holiday
9/23/2014,Tuesday,23,September,2014,Albania,September Equinox,Season
10/4/2014,Saturday,4,October,2014,Albania,Feast of the Sacrifice,National holiday
10/26/2014,Sunday,26,October,2014,Albania,Daylight Saving Time ends,Clock change/Daylight Saving Time
10/31/2014,Friday,31,October,2014,Albania,Halloween,Observance
11/28/2014,Friday,28,November,2014,Albania,Flag and Independence Day,National holiday
11/29/2014,Saturday,29,November,2014,Albania,Liberation Day,National holiday
12/8/2014,Monday,8,December,2014,Albania,National Youth Day,National holiday
12/22/2014,Monday,22,December,2014,Albania,December Solstice,Season
12/24/2014,Wednesday,24,December,2014,Albania,Christmas Eve,Observance
12/25/2014,Thursday,25,December,2014,Albania,Christmas Day,National holiday
12/31/2014,Wednesday,31,December,2014,Albania,New Year's Eve,Observance
1/1/2014,Wednesday,1,January,2014,Algeria,New Year,Public Holiday
1/14/2014,Tuesday,14,January,2014,Algeria,The Prophet's Birthday,Public Holiday
3/20/2014,Thursday,20,March,2014,Algeria,March Equinox,Season
5/1/2014,Thursday,1,May,2014,Algeria,May Day,Public Holiday
6/21/2014,Saturday,21,June,2014,Algeria,June Solstice,Season
7/5/2014,Saturday,5,July,2014,Algeria,Independence Day,Public Holiday
7/29/2014,Tuesday,29,July,2014,Algeria,Eid al-Fitr,Public Holiday
7/30/2014,Wednesday,30,July,2014,Algeria,Eid al-Fitr Holiday,Public Holiday
9/23/2014,Tuesday,23,September,2014,Algeria,September Equinox,Season
10/4/2014,Saturday,4,October,2014,Algeria,Eid al-Adha,Public Holiday
10/6/2014,Monday,6,October,2014,Algeria,Eid al-Adha,Public Holiday
10/25/2014,Saturday,25,October,2014,Algeria,Muharram,Public Holiday
11/1/2014,Saturday,1,November,2014,Algeria,Anniversary of the Revolution,Public Holiday
